dt_inp,tot_recv,md,prime,tentv_ppm,ppaid
1000280551,140502,11377,4188,731,7867
1000279779,110586,6535,5582,951,4835
1000273738,167530,15155,2815,913,1210
1000260924,144889,14126,8877,774,1731
1000258366,109823,18697,7600,892,5889
1000240973,154376,17389,3030,778,6022
1000234316,170372,16861,8027,769,13399
1000279777,139308,5363,5343,788,5585
1000273735,151939,13817,1211,799,11325
1000261126,160886,11363,1049,991,4713
1000258704,198792,13652,9070,924,8586
1000246651,176076,7898,6405,962,13073
1000245055,164107,3983,7274,944,14002
1000234314,141023,11450,1006,976,5250
1000279775,131700,15104,6171,774,13709
1000260919,191188,2912,7908,898,11365
1000258364,163318,4996,3762,746,1924
1000246231,165299,5030,5339,979,6078
1000226851,105056,11240,1353,746,12975
1000529407,185400,19609,7115,816,9445
1000283067,117209,4654,2048,839,6220
1000279773,113131,3412,5636,998,3610
1000260916,148154,17622,2411,850,5495
1000258701,179329,11612,7025,756,9460
1000240971,163786,4642,7303,759,12995
1000226849,153408,10840,2580,803,8984
1000283192,168049,4368,5433,791,14407
1000279326,147212,2797,4439,752,6341
1000269103,152936,13642,1391,738,8714
1000262250,121390,17131,6961,890,12921
1000260832,154963,16624,8026,835,14697
1000258698,115362,9277,9473,982,5153
1000240968,177903,14918,1629,819,6356
1000226847,175578,15249,4982,762,9729
1000283060,166150,4309,8695,897,14769
1000279324,164557,5708,5484,826,3022
1000260829,191275,10908,3091,713,10621
1000258359,162406,18034,5039,713,6543
1000245062,145717,18390,7859,907,3411
1001194407,160270,16954,4830,876,9946
1000279322,148866,5973,7434,965,6341
1000261107,187074,10494,1794,735,8212
1000258357,174049,2050,6511,975,10265
1000257785,110571,9616,8257,714,12941
1000240965,161282,10873,9620,985,10133
1000204441,107290,15915,8028,813,6270
1000454958,108229,14720,6369,758,7807
1000279320,156700,10186,7005,797,12029
1000268078,139705,3352,3955,945,4566
1000262234,105026,2970,3149,748,5146
1000258355,124369,18218,6873,854,9517
1000245060,138354,18038,3582,990,10345
1000227183,125916,15518,7035,950,13149
1000203945,153307,15283,3592,791,9668
1000454952,194199,7719,4420,915,3900
1000283161,143443,5346,7919,771,14012
1000279318,158097,14967,2234,990,10184
1000260787,193788,5305,8696,870,12502
1000258353,148951,12809,3863,958,3289
1000257188,143951,8396,6378,967,13655
1000245058,128255,2956,2856,999,13910
1000454949,168976,10608,2629,974,6957
1000264924,155436,13127,6697,759,9440
1000260914,145215,5696,4445,743,14310
1000258351,126811,6880,7694,928,9527
1000245050,120102,9552,2044,958,1261
1000454945,121063,3863,9210,816,13721
1000283048,108831,4369,8779,947,11922
1000262070,140998,11099,4956,718,10014
1000258690,102147,2127,3387,838,6836
1000257184,115217,19486,7573,772,7975
1000240936,160696,15601,6932,987,8351
1001194419,143034,13005,1541,947,7358
1000459385,131054,8077,9584,828,11897
1000283045,121466,3574,9383,849,14880
1000260910,125651,17361,5541,963,14500
1000258687,169410,13969,8617,945,2384
1000240933,174491,5331,6154,938,8505
1001194416,158948,6735,4631,908,4311
1000454939,117912,2642,1279,804,7506
1000283042,138842,19176,4904,750,14051
1000258684,143575,8835,1200,891,13580
1000257777,174335,9191,3710,728,2832
1000244978,169099,16925,3508,872,2175
1000321538,147409,5965,8534,943,8521
1000283039,156155,14592,8610,964,3846
1000279685,162550,2333,8496,822,1224
1000260906,102399,12021,8080,998,7036
1000258681,172406,18580,4528,899,7901
1000257775,176425,17162,5442,860,2133
1000240929,190475,17029,7783,793,8975
1000321535,140893,9835,1076,1000,13444
1000283036,172009,12812,1138,768,7027
1000268645,120895,14993,8046,924,11901
1000258675,116736,13373,7002,807,5772
1000240926,182491,13753,2784,825,11296
1000234266,148520,18066,3269,939,8944
1000279687,156969,2875,3093,837,4365
1000268642,124468,10224,1524,753,5125
1000258345,106733,14006,9090,963,10097
1000257771,131158,17169,5570,703,13119
1000240924,106190,13573,6967,840,2307
1000233433,133236,16283,4243,783,3375
1000228778,139017,18084,3945,839,12031
1001178914,184310,13152,9281,960,2540
1000279232,199593,4295,5781,758,6818
1000268085,191485,13531,1338,986,1857
1000260902,171069,16013,6356,952,2068
1000258671,142329,16237,6705,737,13794
1000233435,123984,12457,1151,992,7824
1000203929,140011,2444,6316,961,7477
1000279230,198601,10950,9958,848,3824
1000268083,122775,9075,2203,792,2385
1000261113,168102,6957,1778,996,13991
1000258340,156075,15391,7994,750,13625
1000257767,191712,10519,7734,914,11126
1000240922,130988,9148,7641,939,9558
1000233431,160095,15765,3650,925,12069
1000228774,192129,16241,2294,705,7434
1000203927,153819,2129,3648,907,5069
1001596149,105742,10371,4889,707,9472
1000321513,134755,19240,5492,963,4129
1000281970,195009,3202,3447,813,2154
1000279110,136361,12003,2272,747,13511
1000268081,103590,4721,9531,721,14541
1000264864,126096,10778,1717,707,11797
1000261110,120004,11744,5418,880,8330
1000258666,101578,16390,6009,744,7153
1000257765,170333,6104,2924,753,9349
1000244973,173187,15906,7605,740,13489
1000315211,183831,13232,3586,898,6165
1000283029,143943,16490,2327,719,3592
1000278656,166424,5731,6466,822,4043
1000273647,176257,5256,2861,759,6082
1000268027,156754,5490,4822,970,9519
1000234060,133669,4844,7028,967,12322
1000203923,109320,6089,5625,719,3597
1000315200,132125,10153,8835,968,14123
1000278654,154371,10903,1897,747,8197
1000273645,171384,15496,4058,854,8603
1000267987,196119,3216,7357,891,9529
1000257761,127330,12153,8139,971,10626
1000227169,119686,3425,2151,751,3869
1000203250,106391,8671,6629,908,8345
1000315196,161748,2005,2678,863,5965
1000281957,168508,4241,3644,952,12325
1000278652,151242,5987,9154,754,8667
1000267984,133423,4087,7721,817,10135
1000244962,177540,2310,5216,764,10044
1000227167,126624,19439,6263,709,5016
1000203248,146304,16113,1297,820,9164
1000278630,187091,16551,5734,848,6229
1000267981,127037,14187,7435,757,13588
1000240919,164443,16607,3749,743,10787
1000227165,116313,7254,2466,720,6403
1000203921,196179,16472,1325,721,2150
1000283058,110193,6290,8689,911,4729
1000278628,178178,14223,5588,865,1243
1000267978,171812,4631,3043,825,6947
1000265326,172192,13084,3052,778,6357
1000244958,153667,9499,5969,874,9748
1000227163,165557,18448,4454,963,7465
1000203246,130822,15040,2025,948,12451
1000285755,132503,12151,5549,804,1963
1000283164,128236,7907,5427,713,13738
1000281935,113650,14579,6959,826,13929
1000278626,147447,11184,8537,714,6956
1000268441,180085,3690,9646,925,12739
1000244955,195004,6586,5265,869,5344
1000203919,180569,15776,2143,727,7724
1000283155,196469,17499,4767,743,7615
1000278600,112699,17717,8581,702,4829
1000240916,110038,2888,5679,857,9021
1000233935,152738,11315,6560,795,6267
1000283148,184112,8543,6159,794,3079
1000281571,126321,4545,1710,985,3535
1000278598,158780,15248,8273,910,14332
1000268322,179378,2948,6164,754,9252
1000203242,110338,3022,3061,747,11589
1000975590,137056,14063,7072,759,14904
1000295447,156620,15280,6050,874,13270
1000278596,195351,14643,7483,990,10410
1000203240,147549,4209,7314,913,6751
1000277699,197606,9686,7869,766,14213
1000233834,117192,12072,3498,899,7200
1000226735,110945,18646,3998,788,8522
1000295088,109167,3844,1297,901,9645
1000277671,133223,19394,4340,976,5846
1000277703,103828,19993,1382,842,11593
1000268282,151633,9929,9119,825,2896
1000244927,140048,10266,9786,889,10019
1000281902,197215,17035,6003,984,12947
1000277701,188430,11050,1424,878,11079
1000244924,108695,10932,6047,949,7831
1000203320,152307,9626,8453,839,5383
1000277669,120524,6971,9123,938,5602
1000268265,129516,7906,3265,919,13384
1000240902,143879,18817,6075,972,8218
1000226453,155575,7220,4682,752,1249
1000278105,156428,6889,7035,807,8086
1000267870,132709,2806,8040,870,4569
1000244920,114662,13344,8597,951,9984
1000226451,188828,10382,2472,929,13513
1000281533,145610,15881,7256,763,9500
1000278107,101055,19364,5500,856,10505
1000268258,134482,2254,8129,874,3278
1000260784,193284,17190,6609,751,3837
1000226445,103512,5186,8211,797,9986
1000277308,180027,14090,8104,868,8791
1000268256,124514,14465,3980,744,8667
1000260780,104104,17239,2019,957,9945
1000226443,142573,14876,8842,718,7405
1001579402,107284,12374,9136,853,2234
1000276527,187609,6750,7176,790,1335
1000268254,179908,11229,9737,794,8523
1000260778,186176,8285,1049,878,3326
1000254368,126738,9251,4968,833,5312
1000226441,116925,18220,2432,798,4226
1000276525,112331,13140,9129,908,6890
1000268252,109849,5568,9601,722,4715
1000260775,122542,3949,6284,973,13621
1000258361,190559,15610,3309,885,12942
1000254365,129173,3074,1185,798,7610
1000226439,162371,12615,3053,928,8858
1000277310,145807,17175,4401,990,2161
1000258348,102531,17667,2481,991,4497
1000254362,182600,7040,1694,852,14787
1000240876,124110,15070,3353,890,13335
1000281864,190001,3655,7222,815,1454
1000277304,124657,8561,9761,997,11308
1000258678,111033,16427,8482,778,12208
1000257688,196223,5239,2169,761,2564
1000244953,117605,5621,5368,708,14873
1000277302,125226,4891,7779,820,6511
1000258669,107625,4369,5443,709,13308
1000257681,185081,3704,4565,802,6504
1000281859,121564,12499,2285,908,6752
1000277300,153234,2238,8862,993,2287
1000258662,156413,13362,2590,942,4012
1000257140,195705,11988,9711,942,6300
1000233725,186328,8155,9449,825,14592
1000277220,136651,15332,5616,878,12988
1000258656,199694,15516,2572,990,13183
1000257137,174183,9187,9819,980,14384
1000276413,113195,16772,6066,815,6307
1000257667,133797,8044,9457,788,11506
1000276400,168558,14736,6713,871,1930
1000258650,156585,13807,3803,706,13661
1000257665,107764,9560,7960,825,11410
1000240900,171967,19027,8347,907,11521
1000226425,131072,14150,5576,942,13526
1000277218,183285,14255,2284,705,7210
1000293902,107023,12434,7537,779,5301
1000277216,160869,4217,9291,907,14223
1000254044,171699,11209,1981,877,8459
1000276398,134224,10223,5817,753,4276
1000268267,173133,3622,8664,820,10286
1000254371,180110,13241,1734,837,2586
1000240885,182681,6258,1333,792,5371
1000226419,122344,4232,4870,920,2842
1000276396,122809,5007,3199,966,12704
1000267872,136878,15574,4068,728,8341
1000254040,136897,12651,2678,797,9305
1000240882,166895,2493,9528,949,6788
1001391419,144192,15849,1585,879,6332
1000976430,180189,15395,7482,991,7450
1000277188,169726,18577,2212,744,1459
1000267868,135970,11555,9128,970,14993
1000254360,118589,17790,5422,774,12439
1000240879,176192,15918,3462,833,2607
1000975587,116708,5002,2904,883,12347
1000276394,152798,11701,4176,802,5623
1000267866,145522,19657,3356,904,6869
1000254358,131389,10532,2881,950,2699
1000244910,159998,7640,7398,850,14407
1000281450,123055,9458,3452,753,11061
1000277172,192611,7986,4088,850,14336
1000267863,130476,15210,1347,778,6437
1000240871,164125,13255,3185,724,13909
1000292056,112992,2936,5991,810,6557
1000276392,109908,6294,7113,952,3663
1000268249,145089,3009,3276,786,7123
1000240868,177229,4978,6573,727,2840
1000226475,115752,15035,8429,708,2404
1000277170,133003,11666,6888,753,11339
1000244873,128922,6517,3072,814,9428
1000226473,127545,14194,6575,933,7520
1000276390,171087,10171,8494,972,2846
1000257609,173852,4521,1632,974,3433
1000244870,198728,17434,6728,704,10382
1000226471,131956,3342,5967,821,11277
1000277174,196047,2976,6900,803,1702
1000267857,165581,12020,1188,950,12205
1000257607,163005,4048,3574,948,3834
1000244866,126113,15488,9683,846,13304
1000226469,151352,9614,4107,823,6170
1000282878,191212,5220,5363,850,13474
1000281436,154491,13562,5974,881,13568
1000276282,191711,12463,2435,771,14884
1000267854,127759,14862,4158,803,3622
1000240862,114022,10432,1845,919,9228
1000166579,192699,2310,2373,859,8967
1000281431,104762,7169,7387,759,4072
1000276280,176083,18867,8575,845,7332
1000267851,160379,13826,1568,872,5344
1000257603,165118,12716,3598,962,9939
1000240854,172713,16881,4072,991,2179
1000226461,122353,7559,9858,770,8307
1000203268,122465,16155,5707,951,11168
1000281428,156389,9790,7939,758,4690
1000280992,131610,2148,8656,884,7061
1000276286,171340,13095,2866,780,2308
1000240851,142168,8239,1848,722,2044
1000228684,104540,10868,4443,915,9735
1000226459,114147,12087,5523,936,5844
1000281822,110749,17548,2960,828,6878
1000276284,126204,8487,4923,903,1861
1000257112,125532,14362,3636,820,8935
1000240848,165476,8041,7721,927,12524
1000226457,120317,14888,3249,929,14533
1000290893,146869,16790,3896,989,2674
1000281424,132464,16494,8442,974,4713
1000276198,169047,15249,3458,1000,14305
1000244859,124246,15292,7164,999,2373
1000226455,183185,16453,3964,837,2396
1000290572,133664,13743,2563,957,14104
1000276196,125679,7450,7095,932,10037
1000273342,146721,8545,6190,907,7953
1000226449,176246,14992,4819,824,7029
1000165780,110728,14817,2355,987,3192
1000290570,147375,5462,7817,707,4169
1000281819,138879,12088,7089,970,8544
1000276765,120936,7829,2799,874,14605
1000273057,154803,17295,9498,795,9928
1000226447,105677,2673,1347,940,7422
1001381424,160153,10625,5607,876,7636
1000290872,122383,15427,8009,766,12281
1000276763,147956,9901,8021,949,10545
1000259817,187704,2210,2364,766,11304
1000256356,167641,17271,1636,819,6550
1000245522,142633,7559,4904,810,4424
1000281410,174557,17790,8604,844,7152
1000276172,121007,5815,3022,831,7332
1000256353,122441,2234,8873,848,10895
1000246015,185408,18229,5539,934,11211
1000290861,179618,12553,6643,779,1522
1000276170,145722,5309,6144,883,14133
1000257000,178199,14436,5387,831,14533
1000240873,119080,5838,6836,827,2362
1000203738,195895,13432,4927,958,14021
1001248918,143332,13906,7850,855,8648
1000281808,116670,4857,1916,987,6229
1000276168,193600,5422,2248,894,11535
1000256998,123632,17717,4044,897,11891
1000245483,142309,5644,8816,818,5226
1000244878,172815,11131,1255,840,13454
1000226413,164903,13829,2149,727,10077
1000290582,174502,5397,3243,806,4016
1000281805,134287,3970,5910,713,3862
1000276153,153111,3652,9268,798,9118
1000256995,144222,7504,5775,919,13950
1000245480,195224,15212,3125,839,10894
1000244875,183013,17123,2073,847,4094
1000228663,145893,10520,7102,765,1660
1000226411,157896,13935,3950,701,6351
1000166202,129192,15894,1879,791,7077
1000290567,195643,17583,6479,792,5859
1000244868,157382,17845,1377,950,8156
1000237360,162332,6972,7054,732,3433
1000203419,183981,16995,6218,787,12214
1000281790,112593,17718,9596,836,14462
1000244863,105866,10986,3016,938,8472
1000203417,113571,10721,6912,832,14515
1000166198,100673,10520,3891,714,3321
1000240859,182640,11194,3911,740,7131
1000203415,100954,19789,9705,949,4776
1000290553,121419,16538,7312,981,3317
1000281371,137740,5152,4895,770,4291
1000240857,188085,18279,7465,712,3397
1000203413,148046,17222,5621,956,8936
1000290543,188402,13415,4269,838,8063
1000282873,146448,7649,5039,797,5021
1000225408,197816,15026,2179,982,2091
1000260684,149742,4368,2017,853,5986
1000225400,106512,14985,4720,881,7457
1000203409,196683,6039,5031,912,5344
1000290535,166349,11494,4051,823,12235
1000281362,124845,4894,7528,888,1871
1000282531,117966,11456,4140,851,5157
1000244813,139975,6397,6716,923,3188
1000225651,155739,15438,5168,944,2101
1000290853,151319,2194,1324,994,11425
1000281765,107994,16643,5545,843,13848
1000240779,164175,17832,6740,738,4830
1000203403,161197,14427,6880,961,3364
1000281756,179195,18178,2028,789,13013
1000244815,131907,18848,1405,848,13023
1001248407,189280,8919,5538,970,7849
1000282527,198685,13407,7400,914,3794
1000228466,182579,18260,6339,864,11153
1000223972,137458,3599,3119,910,2656
1000258609,121982,11566,6396,797,13593
1000223970,194306,3364,3334,818,11588
1000281562,125694,16396,8014,908,10541
1000246001,138789,15298,3937,918,1751
1000203395,163318,12367,6660,820,3600
1000290838,140942,8379,5415,919,3840
1000245997,179087,11269,3344,921,9257
1000203393,184319,14400,8296,890,4035
1001242920,198475,12727,4885,956,2915
1000290538,145061,13909,6325,714,5578
1000281555,194614,10830,6629,737,1574
1000281899,151766,4161,5303,859,4058
1000273347,146754,14762,1400,850,11953
1000203385,158979,2924,2698,969,12526
1000273345,125242,16315,5414,934,5939
1000256949,193504,8781,4974,949,7977
1000281548,111649,6540,3861,759,7295
1000273339,191981,4585,3866,899,12903
1000256945,189248,4284,4332,878,13208
1000208903,105890,14091,6812,778,8657
1000975494,103082,17833,1510,739,12747
1000281894,127834,8736,5579,793,5838
1000273337,165402,15850,6054,966,11687
1000235838,107839,3722,1265,704,10733
1000258227,106107,18676,2281,946,11369
1000256933,138266,18762,5415,998,11579
1000281538,180880,18614,8828,987,1223
1000256930,151049,13620,3952,978,9995
1000208427,119877,17239,7240,850,9194
1000203141,160877,19257,6367,711,9643
1000281536,175419,7392,9672,808,11997
1000256926,127295,10839,3627,962,5091
1000203139,115168,2450,8171,950,11557
1000281889,107853,4761,5314,899,6765
1000256923,109656,14885,5595,975,1353
1000255629,160744,14165,8860,785,13763
1000281887,187381,5946,6257,992,14239
1001234420,123665,13811,5180,979,5866
1000288244,113484,11335,9588,901,12074
1000281529,126730,17937,8414,990,7930
1000256918,199817,14070,7117,930,9401
1000203133,146754,2167,4986,885,11240
1001233958,131165,8801,8524,775,12370
1000975944,127382,6616,9171,848,12751
1000271867,179112,13016,1105,924,10612
1000256915,150576,12423,6690,954,9425
1000203131,127573,19882,5652,998,5120
1000271865,172697,17661,1007,801,9723
1000231595,145357,10180,7439,930,14546
1000208417,187492,6733,1203,861,8316
1000272209,152737,14814,2338,851,13559
1000256268,152770,5769,1738,915,14013
1000230571,144538,4227,7377,820,10862
1000203127,170100,15130,3425,837,9577
1001234415,132243,7735,9198,932,10542
1000975483,169954,7211,1316,749,9092
1000203125,172063,5873,8887,923,6434
1001234408,146139,13091,9568,743,10406
1000258242,137567,9017,3408,951,10406
1000203123,193654,3364,6082,933,1490
1001234406,193190,11784,1858,960,13173
1000284567,190272,12960,2399,792,5615
1000281514,119624,10543,5712,758,4873
1000257579,121811,12360,8303,711,14383
1001234404,122285,17935,4841,778,4816
1000274848,182668,18019,4030,948,2766
1000257577,120891,17259,4330,934,4457
1000203119,139153,3377,4496,994,10817
1001233938,122049,14806,5084,973,10157
1000281508,146044,10760,5349,912,8379
1000274846,194703,9482,6310,892,12943
1000259629,118760,5763,5756,710,6098
1000257575,172496,7420,8951,853,10351
1000281506,105156,19298,6279,806,9007
1000274844,101956,15472,1575,991,14609
1000257573,145493,14035,5100,738,3413
1000975963,175035,19553,5903,977,3729
1000282474,171178,12822,2181,937,3504
1000281504,105041,3200,1809,938,9480
1000274841,118652,14843,7774,930,2651
1000257571,116912,15541,5621,932,7858
1000244698,193804,4534,4964,879,9059
1000282472,111422,3771,6138,955,8004
1000281502,162429,7355,5050,702,4495
1000274417,132876,16243,1684,953,13174
1000257569,162033,18718,5996,734,5618
1000244695,183368,15059,8808,969,10023
1000282470,107979,7690,1318,776,9910
1000281498,120200,13687,4173,929,3977
1000280341,165124,14511,1549,796,2170
1000259085,114632,18021,1995,765,14342
1000258233,150741,2251,2328,890,4827
1000256884,113037,16897,4238,899,4711
1000282839,128981,15856,9797,955,4395
1000281868,158410,18577,5489,737,4820
1000258230,132332,16137,8362,831,3095
1000256263,124796,9085,3940,862,8727
1000281496,169303,5604,5986,912,3798
1000280771,154809,19206,5817,725,3911
1000274838,117390,16445,8704,727,10936
