,DT,DT_NAME,UNDERTAKING,BUSINESS_UNIT,FEEDER_NO,FEEDER_NAME
6150,1000257834,11-YidiINJ-T1-Opeilu-ADIYAN,ADIYAN,ABULE-EGBA,1069300,OPEILU
3847,1000280569,11-AgegeINJ-T1-Oko Oba-WILLIAMS ELLIOT NORTH HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4615,1000270093,11-AgegeINJ-T1-Oko Oba-FUNSHO GEORGE HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6151,1000257832,11-YidiINJ-T1-Opeilu-PETER 2,ADIYAN,ABULE-EGBA,1069300,OPEILU
7943,1000234632,11-YidiINJ-T1-Osoba-TENKOBO,FAGBA,ABULE-EGBA,1069296,OSHOBA
3848,1000281091,11-AgegeINJ-T1-Iju Road-1 AKINBIYI DAODU HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4616,1000270091,11-AgegeINJ-T1-Oko Oba-FUNSHO GEORGE HVDS 5,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6152,1000257830,11-YidiINJ-T1-Opeilu-POPOOLA,ADIYAN,ABULE-EGBA,1069300,OPEILU
3849,1000281089,11-AgegeINJ-T1-Iju Road-18 ALHAJI AJISAFE HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4617,1000270142,11-AgegeINJ-T1-Oko Oba-ADIGUN HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
7177,1000245143,11-Abule IrokoINJ-T1-Abule Iroko-GBOGBOADE,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
3594,1000281967,11-BeckleyINJ-T1-Agbe road-AROWOLO HVDS 9,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
3850,1000280563,11-AgegeINJ-T1-Iju Road-18 FAGBA STR HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4618,1000270139,11-AgegeINJ-T1-Oko Oba-ADIGUN HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6154,1000257210,11-YidiINJ-T1-Opeilu-ORUDU JUNCTION,ADIYAN,ABULE-EGBA,1069300,OPEILU
7178,1000245666,ABULE IROKO_IRE AKARI,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
8458,1000227401,11-IjuINJ-T2-Ishaga-OLOKO,IJU,ABULE-EGBA,1064890,ISHAGA
8714,1000205047,11-Ope IluINJ-T1-Adiyan-OLUASO,ADIYAN,ABULE-EGBA,1094858,ADIYAN FEEDER
2827,1000534970,11-LambeINJ-T1-Jolasco-BUSARI,LAMBE,ABULE-EGBA,1092358,JOLASCO FEEDER
3851,1000280560,11-AgegeINJ-T1-Oko Oba-WILLIAMS ELLIOT HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4107,1000280125,20 PAUL,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4619,1000270083,11-AgegeINJ-T1-Oko Oba-ADIGUN HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
8459,1000227652,11-IjuINJ-T2-Ishaga-ALIYU,IJU,ABULE-EGBA,1064890,ISHAGA
3596,1000281955,11-AgegeINJ-T1-Oko Oba-SANGOJIMI HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3852,1000280556,11-AgegeINJ-T1-Iju Road-2 SHOLANKE STR  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4620,1000270081,11-AgegeINJ-T1-Oko Oba-ADIGUN HVDS 4,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6156,1000257826,11-YidiINJ-T1-Opeilu-MURI ABIOLA,ADIYAN,ABULE-EGBA,1069300,OPEILU
7180,1000245660,11-Abule IrokoINJ-T1-Abule Iroko-FEYIJIMI,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
7948,1000233569,11-YidiINJ-T1-Osoba-ODUBANWO 3 (OKHIDE),FAGBA,ABULE-EGBA,1069296,OSHOBA
2829,1000533949,11-Akute INJ-T1-Ishashi-PIPELINE,AKUTE,ABULE-EGBA,1081953,ISHASHI
4109,1000280623,11-BeckleyINJ-T1-Agbe road-PAUL STREET HVDS 9,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4621,1000270079,11-AgegeINJ-T1-Oko Oba-ADIGUN HVDS 6,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
7181,1000245657,11-Abule IrokoINJ-T1-Abule Iroko-ALOWONLE,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
3598,1000281592,11-AgegeINJ-T1-Oko Oba-SHOLA MARTINS HVDS 14,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3854,1000281110,11-AgegeINJ-T1-Iju Road-35 OLD AKUTE RD HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
8462,1000227408,11-Ijaiye OjokoroINJ-T2-Agbado 2-JOLAOSO,IJAIYE,ABULE-EGBA,1070432,AGBADO II
2831,1000534944,11-Akute INJ-T1-Ishashi-MARTINS,AKUTE,ABULE-EGBA,1081953,ISHASHI
3599,1000281949,11-BeckleyINJ-T1-Agbe road-AROWOLO HVDS 19,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
3855,1000281108,11-AgegeINJ-T1-Oko Oba-ABIODUN KUYE HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
2832,1000534942,11-Akute INJ-T1-Ishashi-FELIX LOWEN,AKUTE,ABULE-EGBA,1081953,ISHASHI
3856,1000281104,11-AgegeINJ-T1-Iju Road-65 OLD AKUTE RD HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4624,1000270130,11-Akute INJ-T1-Ishashi-DENRO,AKUTE,ABULE-EGBA,1081953,ISHASHI
7184,1000245668,11-Abule IrokoINJ-T1-Abule Iroko-ARIJE 2,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
3857,1000281093,11-AgegeINJ-T1-Iju Road-7 AKINBIYI DAODU  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4625,1000270036,11-AgegeINJ-T1-Oko Oba-ADIGUN HVDS 5,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
7185,1000245128,11-Abule IrokoINJ-T1-Abule Iroko-OPEOLUWA,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
3602,1000281589,11-AgegeINJ-T1-Oko Oba-SANGOJIMI HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3858,1000281087,11-AgegeINJ-T1-Iju Road-8 LIJOKA STR  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
8466,1000227398,11-IjuINJ-T2-Ishaga-OLORORO (AKINBAMI),IJU,ABULE-EGBA,1064890,ISHAGA
8722,1000205022,11-IjuINJ-T1-Asore-OSHIN,AKUTE,ABULE-EGBA,1082349,ASORE
3859,1000281084,11-AgegeINJ-T1-Iju Road-1 LIJOKA STR HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4883,1000266456,11-Akute INJ-T1-Oyeyemi-AKINLABI,AKUTE,ABULE-EGBA,1091349,OYEYEMI
7187,1000245594,11-BeckleyINJ-T1-Beckley-ANGEL TEMPLE 2,FAGBA,ABULE-EGBA,1069272,BECKLEY
8723,1000205020,11-IjuINJ-T1-Asore-OPERE,AKUTE,ABULE-EGBA,1082349,ASORE
3604,1000281585,ISIJOLA_IGANDO ROAD,FAGBA,ABULE-EGBA,1079349,ISIJOLA
3860,1000281081,11-AgegeINJ-T1-Iju Road-8 AWOBANA STR  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4116,1000279598,11-Ijaiye OjokoroINJ-T1-Jankara-APOSTOLIC STREET HVDS 1,FAGBA,ABULE-EGBA,1070428,JANKARA
8212,1000229124,11-Ijaiye OjokoroINJ-T2-Agbado 2-AKANBI STREET HVDS 1,FAGBA,ABULE-EGBA,1070432,AGBADO II
8724,1000207344,11-IjuINJ-T1-Asore-OGUNLOWO,AKUTE,ABULE-EGBA,1082349,ASORE
2581,1001220440,11-IjuINJ-T1-Ajuwon-REAL OIL,AKUTE,ABULE-EGBA,1064886,AJUWON 
3861,1000281078,11-AgegeINJ-T1-Iju Road-AWOBONA BY OBASA JUNCTION HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4117,1000279594,11-AgegeINJ-T1-Iju Road-3 AKINFEMI SAVAGE HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
7189,1000245125,11-Abule IrokoINJ-T1-Abule Iroko-SAKA,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
8469,1000227381,11-Ijaiye OjokoroINJ-T1-Jankara-ABULE EGBA BU,FAGBA,ABULE-EGBA,1070428,JANKARA
3862,1000281075,11-AgegeINJ-T1-Oko Oba-OLORUNNISHOLA HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4118,1000279587,11-AgegeINJ-T1-Iju Road-3 BEN OLAKUNLE HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
3863,1000281072,11-AgegeINJ-T1-Iju Road-19 AWOBONA STR  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
3608,1000281931,11-AgegeINJ-T1-Oko Oba-FUNTUNA HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3864,1000280548,11-AgegeINJ-T1-Iju Road-4B ALHAJI MUSTAPHA HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4120,1000280048,11-AgegeINJ-T1-Iju Road-3 PRINCE DUROTOYE  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
8728,1000207338,11-IjuINJ-T1-Asore-ADUBA,AKUTE,ABULE-EGBA,1082349,ASORE
2585,1001220426,11-IjuINJ-T1-Galilee-NDIKE 2,IJU,ABULE-EGBA,1066350,GALILEE
3609,1000281929,11-BeckleyINJ-T1-Agbe road-AROWOLO HVDS 7,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
3865,1000281069,11-AgegeINJ-T1-Oko Oba-WILLIAMS ELLIOT NORTH HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4121,1000280019,11-Ijaiye OjokoroINJ-T1-Jankara-APOSTOLIC STREET HVDS 2,FAGBA,ABULE-EGBA,1070428,JANKARA
4633,1000269517,11-Akute INJ-T1-Ishashi-HVDS I FEYISETAN,AKUTE,ABULE-EGBA,1081953,ISHASHI
8729,1000207336,11-IjuINJ-T1-Asore-ABULE OJO,AKUTE,ABULE-EGBA,1082349,ASORE
3610,1000281927,11-AgegeINJ-T1-Oko Oba-ODEKEYE HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3866,1000280546,11-AgegeINJ-T1-Oko Oba-WILLIAMS ELLIOT HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4122,1000279526,11-Ijaiye OjokoroINJ-T1-Jankara-ADERUPOKO STREET HVDS 2,FAGBA,ABULE-EGBA,1070428,JANKARA
4634,1000269469,11-Akute INJ-T1-Ishashi-HVDS NO 55 ISHASHI ROAD,AKUTE,ABULE-EGBA,1081953,ISHASHI
8730,1000205016,11-Ope IluINJ-T1-Adiyan-OPEILU,ADIYAN,ABULE-EGBA,1094858,ADIYAN FEEDER
3867,1000281065,11-AgegeINJ-T1-Iju Road-6 OLAORE STR  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4635,1000269397,11-Akute INJ-T1-Ishashi-HVDSII FEYISETAN,AKUTE,ABULE-EGBA,1081953,ISHASHI
8475,1000227288,11-Ijaiye OjokoroINJ-T2-Agbado 2-KABALA ASOROBI,IJAIYE,ABULE-EGBA,1070432,AGBADO II
3868,1000280544,11-AgegeINJ-T1-Iju Road-3 JOSEPH DEMURIN HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4124,1000279970,11-Ijaiye OjokoroINJ-T1-Jankara-POLE 1 STREET HVDS 1,FAGBA,ABULE-EGBA,1070428,JANKARA
3613,1000281918,11-AgegeINJ-T1-Oko Oba-SHOLA MARTINS HVDS 13,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4125,1000279968,11-Ijaiye OjokoroINJ-T1-Jankara-MUSTAPHA HASSAN STREET HVDS 1,FAGBA,ABULE-EGBA,1070428,JANKARA
6941,1000246753,11-Ijaiye OjokoroINJ-T1-Jankara-AKINTAYO 2,FAGBA,ABULE-EGBA,1070428,JANKARA
3614,1000281910,11-AgegeINJ-T1-Oko Oba-SANGOJIMI HVDS 4,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6942,1000246750,11-Ijaiye OjokoroINJ-T1-Jankara-AKINTAYO 1,FAGBA,ABULE-EGBA,1070428,JANKARA
3359,1000284103,11-Akute INJ-T1-Oyeyemi-OMOKHODION,AKUTE,ABULE-EGBA,1091349,OYEYEMI
3615,1000281567,11-BeckleyINJ-T1-Agbe road-PAUL STREET HVDS 5,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8735,1000207186,11-Ope IluINJ-T1-Adiyan-ORIRE,ADIYAN,ABULE-EGBA,1094858,ADIYAN FEEDER
5408,1000260976,11-AgegeINJ-T1-Iju Road-24 NELSON COLE STREET HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
5664,1000259843,11-BeckleyINJ-T1-Agbe road-BABS LADIPO HVDS 3,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4129,1000279543,11-Ijaiye OjokoroINJ-T1-Jankara-ADERUPOKO STREET HVDS 1,FAGBA,ABULE-EGBA,1070428,JANKARA
4385,1000273753,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6433,1000255502,11-BeckleyINJ-T1-Agbe road-JIM ADEOSUN HVDS 4,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8737,1000204574,11-Ope IluINJ-T1-Adiyan-PASTOR AINA 1,IJAIYE,ABULE-EGBA,1094858,ADIYAN FEEDER
4130,1000279541,11-Ijaiye OjokoroINJ-T1-Jankara-COLE STREET HVDS 1,FAGBA,ABULE-EGBA,1070428,JANKARA
4386,1000273748,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 4,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
8482,1000226883,11-Ijaiye OjokoroINJ-T2-Agbado 2-MAJEOBAJE,FAGBA,ABULE-EGBA,1070432,AGBADO II
4131,1000279985,11-Ijaiye OjokoroINJ-T1-Jankara-CHURCH STREET HVDS 3,FAGBA,ABULE-EGBA,1070428,JANKARA
4387,1000273745,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 11,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
5411,1000261169,11-AgegeINJ-T1-Iju Road-101 IJU ROAD  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
6179,1000257143,11-Abule IrokoINJ-T1-Abule Iroko-OLORUNKEMI,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
6947,1000246313,11-BeckleyINJ-T1-Agbe road-SANNI BALOGUN HVDS 5,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4388,1000273740,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 5,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6948,1000246311,11-BeckleyINJ-T1-Agbe road-SANNI BALOGUN HVDS 6,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4389,1000273492,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 9,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6181,1000257134,11-Abule IrokoINJ-T1-Abule Iroko-FPF,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
3622,1000282063,11-AgegeINJ-T1-Oko Oba-KEHINDE ADERINOKUN HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4134,1000279959,11-Ijaiye OjokoroINJ-T1-Jankara-IDERA STREET HVDS 1,FAGBA,ABULE-EGBA,1070428,JANKARA
4390,1000273733,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 8,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4646,1000269376,11-BeckleyINJ-T1-Agbe road-OLUSHOLA ADESHINA HVDS 2,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6182,1000257678,11-IjuINJ-T1-Galilee-LIDIPE,IJU,ABULE-EGBA,1066350,GALILEE
6950,1000246303,11-Ijaiye OjokoroINJ-T1-Jankara-JACOB OGUNLEYE,FAGBA,ABULE-EGBA,1070428,JANKARA
3623,1000282189,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4135,1000279514,11-Ijaiye OjokoroINJ-T1-Jankara-MUSTAPHA HASSAN STREET HVDS 3,FAGBA,ABULE-EGBA,1070428,JANKARA
4391,1000273488,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 6,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4647,1000269373,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 14,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6183,1000257675,11-IjuINJ-T1-Galilee-OLORUNSHOLA,IJU,ABULE-EGBA,1066350,GALILEE
6951,1000246748,11-Ijaiye OjokoroINJ-T1-Jankara-OPALEYE(EYINADE),FAGBA,ABULE-EGBA,1070428,JANKARA
7207,1000245068,11-IjuINJ-T2-Agbado 1-ODUNBAKU,IJU,ABULE-EGBA,1081359,AGBADO I
7463,1000239273,11-Ijaiye OjokoroINJ-T1-Abeokuta Express-LADIPO DANIEL,IJAIYE,ABULE-EGBA,1070424,ABEOKUTA
2600,1001212426,11-Abule IrokoINJ-T1-Alakuko-ARAROMI 1,IJAIYE,ABULE-EGBA,1069230,ALAKUKO
4136,1000279509,11-Ijaiye OjokoroINJ-T1-Jankara-COLE STREET HVDS 3,FAGBA,ABULE-EGBA,1070428,JANKARA
4648,1000269370,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 12,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
5416,1000260927,11-AgegeINJ-T1-Iju Road-24 DADDY SAVAGE HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
6184,1000257672,11-IjuINJ-T1-Galilee-POPOOLA,IJU,ABULE-EGBA,1066350,GALILEE
6952,1000246745,11-Ijaiye OjokoroINJ-T1-Jankara-ABANIKANDA,FAGBA,ABULE-EGBA,1070428,JANKARA
3625,1000282055,11-AgegeINJ-T1-Oko Oba-MOHAMMED ABDUL HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4137,1000279504,11-Ijaiye OjokoroINJ-T1-Jankara-MUSTAPHA HASSAN STREET HVDS 2,FAGBA,ABULE-EGBA,1070428,JANKARA
4649,1000269367,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 11,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6185,1000257669,11-YidiINJ-T1-Osoba-AKANDE 1,IJU,ABULE-EGBA,1069296,OSHOBA
6953,1000246743,11-Ijaiye OjokoroINJ-T1-Jankara-IPETU IJESHA,FAGBA,ABULE-EGBA,1070428,JANKARA
9001,1000176610,11-IjuINJ-T1-Ajuwon-OLUJIDE MOBOLADE,AKUTE,ABULE-EGBA,1064886,AJUWON 
3626,1000282185,11-AgegeINJ-T1-Oko Oba-BOLA BANJO HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4138,1000279907,11-Ijaiye OjokoroINJ-T1-Jankara-COLE STREET HVDS 4,FAGBA,ABULE-EGBA,1070428,JANKARA
4650,1000269715,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 13,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6186,1000257662,11-Abule IrokoINJ-T1-Abule Iroko-OGO OLUWA OYEFUNKE ST,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
6954,1000246740,11-Ijaiye OjokoroINJ-T2-Agbado 2-PROGRESSIVE,FAGBA,ABULE-EGBA,1070432,AGBADO II
3371,1000283740,11-Abule IrokoINJ-T1-Books-SUBERU 1,IJAIYE,ABULE-EGBA,1069238,BOOKS
4139,1000279502,11-AgegeINJ-T1-Iju Road-3 TUNJI ADEBAYO  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4651,1000269343,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 8,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
5419,1000261142,11-AgegeINJ-T1-Iju Road-10B ALAFIA  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
6955,1000246295,11-Akute INJ-T1-Ishashi-OJERINDE,AKUTE,ABULE-EGBA,1081953,ISHASHI
4140,1000279500,11-AgegeINJ-T1-Iju Road-31 ONIKOYI SAVAGE  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4652,1000269711,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 7,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6188,1000257656,11-Abule IrokoINJ-T1-Abule Iroko-PROGRESSIVE,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
6956,1000246292,11-Akute INJ-T1-Ishashi-MUBARAK,AKUTE,ABULE-EGBA,1081953,ISHASHI
8492,1000226869,11-Ijaiye OjokoroINJ-T2-Agbado 2-MARKET 2,IJAIYE,ABULE-EGBA,1070432,AGBADO II
2861,1000532902,11-AgegeINJ-T1-Oko Oba-FUNSHO GEORGE,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3373,1000283726,11-Abule IrokoINJ-T1-Books-SUBERU 2,IJAIYE,ABULE-EGBA,1069238,BOOKS
4141,1000279857,11-AgegeINJ-T1-Iju Road-36 VICTOR OLALEYE  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4653,1000269341,11-BeckleyINJ-T1-Agbe road-MORADEHUN HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6957,1000246298,11-Ijaiye OjokoroINJ-T1-Jankara-ADERUPOKO 1,FAGBA,ABULE-EGBA,1070428,JANKARA
7981,1000233453,11-Ijaiye OjokoroINJ-T1-Jankara-LAWAL,FAGBA,ABULE-EGBA,1070428,JANKARA
3374,1000283319,11-AgegeINJ-T1-Iju Road-1 OLADELE OGUNDEJI  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4142,1000279482,11-AgegeINJ-T1-Iju Road-50 OLD AKUTE RD HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
5422,1000261138,11-AgegeINJ-T1-Iju Road-7 ALAFIA  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
6190,1000257650,11-Abule IrokoINJ-T1-Abule Iroko-ORISUNMIBARE,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
6958,1000246737,11-Ijaiye OjokoroINJ-T2-Agbado 2-ADEMOLA ALADE (FISHER ESTATE),FAGBA,ABULE-EGBA,1070432,AGBADO II
4143,1000279480,11-AgegeINJ-T1-Iju Road-10 JOSEPH DEMURIN  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
6191,1000257647,11-Abule IrokoINJ-T1-Abule Iroko-ILOYE 1 AMBROSE LAWANI,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
4144,1000279478,11-AgegeINJ-T1-Iju Road-10 BABATUNDE HASSAN HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
6960,1000246731,11-Akute INJ-T1-Ishashi-TAYE BELLO,AKUTE,ABULE-EGBA,1081953,ISHASHI
8752,1000203982,11-Ope IluINJ-T1-Adiyan-PASTOR AINA 2,IJAIYE,ABULE-EGBA,1094858,ADIYAN FEEDER
4145,1000279830,11-AgegeINJ-T1-Iju Road-35 VICTOR OLALEYE STR  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4401,1000273770,11-AgegeINJ-T1-Oko Oba-SAMADOLA,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
5937,1000258730,11-Ijaiye OjokoroINJ-T1-Jankara-OLIYIDE,FAGBA,ABULE-EGBA,1070428,JANKARA
6961,1000246728,11-BeckleyINJ-T1-Agbe road-SANNI BALOGUN HVDS 7,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8497,1000226865,11-Ijaiye OjokoroINJ-T2-Agbado 2-MUSTAPHA,IJAIYE,ABULE-EGBA,1070432,AGBADO II
